Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
47,0,0,0,0,0,2023,10,3,22,24,26,0,0,0,3.89,3.31,4.98,4.96,31.24,28.02,24.56,26.48,24.57,988.40,-4.02,-4.55,7.57,-24.44,-27.97,-21.44,"END
"
48,0,0,0,0,0,2023,10,3,22,24,27,0,0,0,3.89,3.31,4.98,4.99,30.53,28.32,24.57,26.54,24.56,988.39,-3.98,-4.63,7.46,-24.38,-28.70,-21.17,"END
"
49,0,0,0,0,0,2023,10,3,22,24,28,0,0,0,3.89,3.31,4.98,4.99,31.07,27.93,24.58,26.55,24.55,988.58,-4.09,-4.51,7.50,-25.07,-27.85,-22.08,"END
"
50,0,0,0,0,0,2023,10,3,22,24,29,0,0,0,3.89,3.32,4.98,4.99,30.80,28.84,24.58,26.63,24.57,988.30,-3.98,-4.59,7.50,-24.35,-28.41,-21.72,"END
"
51,0,0,0,0,0,2023,10,3,22,24,30,0,0,0,3.89,3.30,4.98,4.99,31.44,27.71,24.59,26.68,24.59,988.54,-4.09,-4.51,7.50,-25.07,-27.85,-21.50,"END
"
52,0,0,0,0,0,2023,10,3,22,24,31,0,0,0,3.89,3.32,4.98,4.99,31.42,28.10,24.58,26.68,24.57,988.27,-4.13,-4.63,7.30,-25.53,-28.87,-21.48,"END
"
53,0,0,0,0,0,2023,10,3,22,24,32,0,0,0,3.90,3.31,4.98,4.95,32.24,28.48,24.59,26.74,24.57,988.33,-3.90,-4.47,7.38,-24.32,-28.19,-22.79,"END
"
54,0,0,0,0,0,2023,10,3,22,24,33,0,0,0,3.89,3.32,4.98,4.99,31.08,28.59,24.59,26.76,24.56,988.51,-4.02,-4.59,7.53,-24.47,-28.26,-22.76,"END
"
55,0,0,0,0,0,2023,10,3,22,24,34,0,0,0,3.90,3.31,4.98,4.99,31.08,27.98,24.59,26.85,24.58,988.26,-3.94,-4.59,7.61,-23.90,-28.17,-21.35,"END
"
56,0,0,0,0,0,2023,10,3,22,24,35,0,0,0,3.89,3.32,4.98,4.99,31.33,28.01,24.61,26.85,24.57,988.42,-4.02,-4.63,7.61,-24.27,-28.27,-22.16,"END
"
57,0,0,0,0,0,2023,10,3,22,24,36,0,0,0,3.90,3.31,4.99,4.94,32.07,28.63,24.61,26.87,24.59,988.39,-4.05,-4.55,7.50,-24.81,-28.10,-21.91,"END
"
58,0,0,0,0,0,2023,10,3,22,24,37,0,0,0,3.90,3.32,4.98,4.99,31.61,27.86,24.60,26.98,24.58,988.37,-4.05,-4.59,7.50,-24.76,-28.30,-21.46,"END
"
59,0,0,0,0,0,2023,10,3,22,24,38,0,0,0,3.90,3.31,4.98,4.99,32.30,27.70,24.62,26.98,24.59,988.44,-3.98,-4.55,7.53,-24.32,-28.11,-22.98,"END
"
60,0,0,0,0,0,2023,10,3,22,24,39,0,0,0,3.89,3.31,4.98,4.99,31.59,28.04,24.63,27.00,24.59,988.30,-4.09,-4.47,7.76,-24.54,-27.02,-22.47,"END
"
61,0,0,0,0,0,2023,10,3,22,24,40,0,0,0,3.88,3.31,4.98,4.98,31.96,28.42,24.62,27.10,24.59,988.42,-3.94,-4.55,7.34,-24.51,-28.64,-21.82,"END
"
62,0,0,0,0,0,2023,10,3,22,24,41,0,0,0,3.90,3.31,4.98,4.99,31.97,28.12,24.62,27.12,24.59,988.39,-4.05,-4.51,7.50,-24.86,-27.90,-22.28,"END
"
63,0,0,0,0,0,2023,10,3,22,24,42,0,0,0,3.89,3.30,4.98,4.98,32.78,28.48,24.64,27.15,24.59,988.41,-4.05,-4.59,7.57,-24.60,-28.12,-22.05,"END
"
64,0,0,0,0,0,2023,10,3,22,24,43,0,0,0,3.86,3.32,4.98,4.99,31.77,28.48,24.64,27.20,24.60,988.29,-4.05,-4.63,7.57,-24.55,-28.31,-21.50,"END
"
65,0,0,0,0,0,2023,10,3,22,24,44,0,0,0,3.89,3.31,4.98,4.99,32.31,27.93,24.65,27.25,24.60,988.42,-4.05,-4.55,7.53,-24.73,-28.01,-22.42,"END
"
66,0,0,0,0,0,2023,10,3,22,24,45,0,0,0,3.90,3.32,4.98,4.99,31.79,28.56,24.66,27.24,24.61,988.39,-3.98,-4.55,7.57,-24.24,-28.02,-22.84,"END
"
67,0,0,0,0,0,2023,10,3,22,24,46,0,0,0,3.88,3.30,4.98,4.99,32.87,27.17,24.66,27.30,24.60,988.40,-4.09,-4.59,7.76,-24.41,-27.61,-21.69,"END
"
68,0,0,0,0,0,2023,10,3,22,24,47,0,0,0,3.90,3.32,4.98,4.99,32.27,28.07,24.66,27.34,24.62,988.32,-4.13,-4.59,7.53,-25.09,-28.11,-21.99,"END
"
69,0,0,0,0,0,2023,10,3,22,24,48,0,0,0,3.90,3.30,4.98,4.98,32.55,27.74,24.67,27.37,24.62,988.41,-4.02,-4.55,7.50,-24.60,-28.15,-22.08,"END
"
70,0,0,0,0,0,2023,10,3,22,24,49,0,0,0,3.89,3.32,4.98,4.99,32.19,28.23,24.67,27.44,24.59,988.49,-4.09,-4.59,7.46,-25.05,-28.35,-22.10,"END
"
71,0,0,0,0,0,2023,10,3,22,24,50,0,0,0,3.89,3.30,4.98,4.99,32.95,28.91,24.67,27.48,24.62,988.26,-3.98,-4.51,7.46,-24.53,-28.10,-21.92,"END
"
72,0,0,0,0,0,2023,10,3,22,24,51,0,0,0,3.89,3.31,4.98,4.98,32.23,27.73,24.69,27.50,24.61,988.18,-4.05,-4.55,7.50,-24.81,-28.10,-22.47,"END
"
73,0,0,0,0,0,2023,10,3,22,24,52,0,0,0,3.90,3.30,4.98,4.99,32.80,28.00,24.68,27.52,24.62,988.43,-4.05,-4.59,7.38,-25.01,-28.59,-21.82,"END
"
74,0,0,0,0,0,2023,10,3,22,24,53,0,0,0,3.89,3.32,4.98,4.98,32.20,28.41,24.68,27.57,24.64,988.34,-4.09,-4.59,7.61,-24.72,-27.97,-21.91,"END
"
75,0,0,0,0,0,2023,10,3,22,24,54,0,0,0,3.89,3.31,4.98,4.99,32.79,28.49,24.71,27.55,24.62,988.36,-4.02,-4.59,7.53,-24.47,-28.26,-22.23,"END
"
76,0,0,0,0,0,2023,10,3,22,24,55,0,0,0,3.89,3.31,4.98,4.93,32.69,28.10,24.71,27.64,24.64,988.63,-4.78,-4.47,7.08,-29.73,-27.66,-22.12,"END
"
77,0,0,0,0,0,2023,10,3,22,24,56,0,0,0,3.86,3.31,4.98,4.99,33.20,28.04,24.73,27.66,24.65,989.00,-4.74,-4.40,6.08,-32.29,-29.70,-39.01,"END
"
78,0,0,0,0,0,2023,10,3,22,24,57,0,0,0,3.89,3.31,4.98,4.99,32.41,28.56,24.74,27.75,24.64,988.65,-0.34,-5.70,10.02,-1.71,-29.61,-123.73,"END
"
79,0,0,0,0,0,2023,10,3,22,24,58,0,0,0,3.88,3.31,4.98,4.99,33.67,27.93,24.75,27.75,24.68,988.38,-0.04,-4.55,3.48,-0.38,-52.59,-139.19,"END
"
80,0,0,0,0,0,2023,10,3,22,24,59,0,0,0,3.89,3.31,4.98,4.99,32.58,28.08,24.76,27.82,24.66,988.22,-2.22,-0.57,9.03,-13.78,-3.53,-68.31,"END
"
81,0,0,0,0,0,2023,10,3,22,25,0,0,0,0,3.82,3.30,4.98,4.99,33.71,27.88,24.77,27.82,24.67,988.75,2.41,3.82,9.87,12.83,20.63,-175.32,"END
"
82,0,0,0,0,0,2023,10,3,22,25,1,0,0,0,3.90,3.31,4.98,4.99,33.02,28.28,24.79,27.83,24.67,988.65,0.88,0.19,10.02,5.02,1.09,175.24,"END
"
83,0,0,0,0,0,2023,10,3,22,25,2,0,0,0,3.84,3.30,4.98,4.98,33.61,27.65,24.80,27.88,24.71,988.39,2.03,-0.92,8.91,12.75,-5.74,172.17,"END
"
84,0,0,0,0,0,2023,10,3,22,25,3,0,0,0,3.89,3.32,4.98,4.99,32.83,28.85,24.78,27.90,24.68,988.47,0.61,-0.50,10.75,3.26,-2.64,140.31,"END
"
85,0,0,0,0,0,2023,10,3,22,25,4,0,0,0,3.89,3.31,4.98,4.99,33.11,28.22,24.81,27.95,24.75,988.75,-2.14,-1.34,7.88,-15.00,-9.31,57.21,"END
"
86,0,0,0,0,0,2023,10,3,22,25,5,0,0,0,3.89,3.31,4.98,4.99,32.71,28.36,24.82,27.96,24.73,988.75,-1.22,-0.92,8.45,-8.19,-6.13,37.70,"END
"
87,0,0,0,0,0,2023,10,3,22,25,6,0,0,0,3.85,3.31,4.98,4.99,34.11,27.63,24.83,28.05,24.70,988.74,-1.30,-0.88,9.56,-7.71,-5.21,41.94,"END
"
88,0,0,0,0,0,2023,10,3,22,25,7,0,0,0,3.90,3.31,4.98,4.99,32.77,28.29,24.84,28.06,24.72,988.87,-0.46,0.38,9.14,-2.87,2.39,61.79,"END
"
89,0,0,0,0,0,2023,10,3,22,25,8,0,0,0,3.88,3.30,4.98,4.96,33.69,28.07,24.84,28.02,24.73,988.54,-2.26,-1.15,8.03,-15.54,-7.83,55.49,"END
"
